baseline,trials,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_min_ms,latency_max_ms,tool_calls_total,tool_call_rate,route_distribution,final_route_distribution
ALL,120,0.0478,0.042,0.0785,0.032,0.153,42,0.35,ask_followup=12/120:0.1000;generate_emr=66/120:0.5500;human_review=6/120:0.0500;query_kg=18/120:0.1500;resample_vision=18/120:0.1500,ask_followup=9/120:0.0750;generate_emr=78/120:0.6500;human_review=27/120:0.2250;resample_vision=6/120:0.0500
B0,24,0.0548,0.043,0.1196,0.038,0.153,0,0.0,generate_emr=24/24:1.0000,generate_emr=24/24:1.0000
B1,24,0.0437,0.042,0.0583,0.033,0.078,3,0.125,ask_followup=3/24:0.1250;generate_emr=15/24:0.6250;resample_vision=6/24:0.2500,ask_followup=3/24:0.1250;generate_emr=15/24:0.6250;resample_vision=6/24:0.2500
B2,24,0.0433,0.0395,0.0577,0.033,0.11,9,0.375,ask_followup=3/24:0.1250;generate_emr=9/24:0.3750;human_review=6/24:0.2500;query_kg=6/24:0.2500,ask_followup=3/24:0.1250;generate_emr=9/24:0.3750;human_review=12/24:0.5000
B3,24,0.0499,0.044,0.0717,0.032,0.096,15,0.625,ask_followup=3/24:0.1250;generate_emr=9/24:0.3750;query_kg=6/24:0.2500;resample_vision=6/24:0.2500,ask_followup=3/24:0.1250;generate_emr=15/24:0.6250;human_review=6/24:0.2500
B4,24,0.0471,0.0415,0.0679,0.033,0.089,15,0.625,ask_followup=3/24:0.1250;generate_emr=9/24:0.3750;query_kg=6/24:0.2500;resample_vision=6/24:0.2500,generate_emr=15/24:0.6250;human_review=9/24:0.3750
